Days,WTI ,BRENT,USA/JPY,USA/GBP,USA/EUR,USA/CHF
111,38.19,40.8,108.43,0.786,0.8853,0.9577
112,38.94,41.18,107.74,0.7857,0.8818,0.9508
113,39.6,41.73,107.11,0.7845,0.8793,0.9449
114,36.34,38.55,106.86,0.7935,0.8849,0.9442
115,36.26,38.73,107.36,0.7973,0.8883,0.9524
116,37.12,39.72,107.32,0.7934,0.883,0.9492
117,38.38,40.96,107.33,0.7951,0.8876,0.9513
118,37.96,40.71,107,0.7964,0.8892,0.9487
119,38.84,41.51,106.97,0.8048,0.8925,0.9514
120,39.75,42.19,106.89,0.8092,0.8945,0.9524
121,40.46,43.08,106.89,0.8023,0.8879,0.9477
122,40.37,42.63,106.53,0.7987,0.8842,0.9446
123,38.01,40.31,107.04,0.8051,0.8887,0.9479
124,38.72,41.05,107.2,0.8053,0.8913,0.9484
125,38.49,41.02,107.22,0.8107,0.8912,0.9481
126,39.7,41.71,107.57,0.8131,0.8894,0.9513
127,39.27,41.15,107.93,0.8064,0.8901,0.9473
128,39.82,42.03,107.47,0.8016,0.8886,0.9458
129,40.65,43.14,107.5,0.8021,0.8897,0.9453
130,40.28,42.8,107.51,0.8009,0.8889,0.9459
131,40.63,43.1,107.36,0.8005,0.8842,0.9421
132,40.62,43.08,107.52,0.7973,0.887,0.9423
133,40.9,43.29,107.26,0.7929,0.8825,0.9383
134,39.62,42.35,107.21,0.7933,0.8861,0.9404
135,40.55,43.24,106.9,0.7922,0.8848,0.941
136,40.1,42.72,107.28,0.7964,0.8814,0.9415
137,40.29,42.9,107.25,0.7967,0.8772,0.9397
138,41.2,43.79,106.94,0.7948,0.8762,0.9443
139,40.75,43.37,107.27,0.7968,0.8783,0.9455
140,40.59,43.14,107,0.7957,0.8749,0.9387
141,40.81,43.28,107.25,0.7897,0.8735,0.9389
142,41.96,44.32,106.78,0.7855,0.8674,0.9333
143,41.9,44.29,107.15,0.7853,0.8642,0.9297
144,41.07,43.31,106.86,0.7849,0.8622,0.9255
145,41.29,43.34,106.14,0.7817,0.8578,0.9208
146,41.6,43.41,105.38,0.7763,0.8509,0.9199
147,41.04,43.22,105.09,0.7733,0.8534,0.9179
148,41.27,43.75,104.92,0.7695,0.8479,0.9126
149,39.92,42.94,104.74,0.7637,0.844,0.9089
150,40.27,43.3,105.89,0.7642,0.8488,0.9129
151,41.01,44.15,105.96,0.7649,0.85,0.9178
152,41.7,44.43,105.72,0.7651,0.8471,0.9134
153,42.19,45.17,105.58,0.7625,0.8428,0.9085
154,41.95,45.09,105.55,0.7605,0.8419,0.9097
155,41.22,44.4,105.93,0.7661,0.8482,0.9125
156,41.94,44.99,105.95,0.7649,0.8518,0.9156
157,41.61,44.5,106.48,0.7663,0.8517,0.9167
158,42.67,45.43,106.89,0.7671,0.8485,0.912
159,42.24,44.96,106.92,0.7654,0.8463,0.9096
160,42.01,44.8,106.59,0.7641,0.8443,0.909
161,42.89,45.37,105.99,0.7631,0.8424,0.9064
162,42.89,45.46,105.42,0.7552,0.8381,0.9037
163,42.93,45.37,106.1,0.7632,0.8447,0.915
164,42.58,44.9,105.79,0.7567,0.843,0.9076
165,42.34,44.35,105.78,0.7638,0.8475,0.9115
166,42.62,45.13,105.97,0.7654,0.8482,0.9117
167,43.35,45.86,106.36,0.7602,0.8449,0.9075
168,43.39,45.64,105.98,0.7569,0.8452,0.9081
169,43.04,45.09,106.55,0.7573,0.8458,0.9088
170,42.97,45.05,105.34,0.7488,0.8398,0.9038
171,42.61,45.28,105.89,0.7477,0.8377,0.9035
172,42.76,45.58,105.95,0.747,0.8393,0.9092
173,41.51,44.43,106.18,0.749,0.8434,0.9105
174,41.37,44.07,106.17,0.7528,0.8437,0.9093
175,39.77,42.66,106.23,0.7528,0.8445,0.9131
176,39.2,42.01,106.25,0.7593,0.8461,0.9159
177,36.76,39.78,106.01,0.7702,0.849,0.9173
178,38.05,40.79,106.17,0.769,0.8472,0.9123
179,37.3,40.06,106.13,0.7808,0.8462,0.9104
180,37.33,39.83,106.14,0.7814,0.844,0.9086
181,37.26,39.61,105.72,0.7783,0.8425,0.9083
182,38.28,40.53,105.43,0.7758,0.844,0.908
183,40.16,42.22,104.94,0.7711,0.8462,0.9092
184,40.97,43.3,104.73,0.7707,0.8439,0.9083
185,41.11,43.15,104.55,0.7741,0.8445,0.9116
186,39.31,41.44,104.64,0.7802,0.8494,0.9143
187,39.6,41.72,104.91,0.7852,0.854,0.9192
188,39.93,41.77,105.37,0.7858,0.8574,0.9238
189,40.31,41.94,105.4,0.7841,0.8565,0.9266
190,40.25,41.92,105.6,0.7843,0.8595,0.9284
191,40.6,42.43,105.49,0.779,0.857,0.9244
192,39.29,41.03,105.64,0.7773,0.8514,0.9192
193,40.22,40.95,105.45,0.7738,0.8531,0.9207
194,38.72,40.93,105.5,0.7756,0.851,0.9183
195,37.05,39.27,105.33,0.7727,0.8534,0.9209
196,39.22,41.29,105.72,0.7703,0.8485,0.9153
197,40.67,42.65,105.62,0.7763,0.8521,0.9177
198,39.95,41.99,105.96,0.7739,0.8501,0.9172
199,41.19,43.34,106.01,0.773,0.8503,0.9167
200,40.6,42.85,105.59,0.7663,0.8455,0.9101
201,39.43,41.72,105.3,0.7654,0.8464,0.9091
202,40.2,42.45,105.47,0.773,0.8512,0.9149
203,41.04,43.32,105.15,0.7683,0.8512,0.9138
204,40.96,43.16,105.44,0.7742,0.854,0.9149
205,40.88,42.93,105.4,0.7741,0.8532,0.9146
206,40.83,42.62,105.42,0.7721,0.8498,0.9102
207,41.46,43.16,105.49,0.7724,0.8457,0.9069
208,40.03,41.73,104.56,0.7603,0.843,0.9053
209,40.64,42.46,104.82,0.7642,0.846,0.9069
210,39.85,41.77,104.69,0.7666,0.843,0.9042
211,38.56,40.46,104.82,0.7678,0.8467,0.9074
212,39.57,41.2,104.4,0.7665,0.8477,0.9085
213,37.39,39.12,104.29,0.7701,0.8514,0.9103
214,36.17,37.65,104.61,0.7735,0.8565,0.9152
215,35.79,37.46,104.64,0.7725,0.8583,0.9167
216,36.81,38.97,104.71,0.7739,0.8589,0.9187
217,37.66,39.71,104.46,0.7656,0.8534,0.9117
218,39.15,41.23,104.48,0.7698,0.8527,0.9124
219,38.79,40.93,103.47,0.7606,0.8454,0.904
220,37.14,39.45,103.33,0.7599,0.842,0.9005
221,40.29,42.4,105.36,0.7596,0.8464,0.9133
222,41.36,43.61,105.28,0.7532,0.8462,0.9153
223,41.45,43.8,105.42,0.7561,0.849,0.9173
224,41.12,43.53,105.12,0.7623,0.8469,0.9148
225,40.13,42.78,104.62,0.7582,0.8449,0.9126
226,41.34,43.82,104.56,0.7576,0.8435,0.9127
227,41.43,43.75,104.17,0.7548,0.8428,0.9111
228,41.82,44.34,103.83,0.7533,0.8435,0.9109
229,41.74,44.2,103.72,0.7539,0.842,0.9109
230,42.15,44.96,103.85,0.7527,0.8434,0.9109
231,43.06,46.06,104.54,0.7505,0.8445,0.9125
232,44.91,47.86,104.43,0.7483,0.8408,0.9111
233,45.71,48.61,104.45,0.747,0.8392,0.908
234,44.98,47.8,104.25,0.7484,0.8392,0.9061
235,45.53,48.18,104.1,0.7509,0.8358,0.9041
236,45.34,47.59,104.27,0.7505,0.8381,0.909
237,44.55,47.42,104.3,0.7453,0.8284,0.8997
238,45.28,48.25,104.4,0.7481,0.8253,0.8942
239,45.64,48.71,103.83,0.7437,0.8234,0.8909
240,46.26,49.25,104.14,0.7439,0.8248,0.8921
241,45.76,48.79,104.06,0.7473,0.8257,0.8906
242,45.6,48.84,104.15,0.7487,0.8261,0.889
243,45.52,48.86,104.21,0.7463,0.8276,0.8892
244,46.78,50.25,104.2,0.7521,0.8237,0.8858
245,46.57,49.97,104.01,0.756,0.8254,0.8893
246,46.99,50.29,104.03,0.7504,0.8233,0.8863
247,47.62,50.76,103.66,0.7427,0.8227,0.8856
248,47.82,51.08,103.48,0.7401,0.8196,0.8855
249,48.36,51.5,103.1,0.7361,0.815,0.8843
250,49.1,52.26,103.31,0.7394,0.8157,0.8832
251,47.74,50.91,103.3,0.7423,0.8167,0.8855
252,47.02,50.08,103.63,0.7483,0.822,0.8896
253,48.12,51.2,103.55,0.741,0.8204,0.8878
254,48.23,51.29,103.63,0.7378,0.8205,0.8906
255,47.62,50.86,103.78,0.7433,0.8184,0.8884
256,48,51.09,103.56,0.7406,0.8163,0.8843
257,48.4,51.34,103.17,0.7338,0.8131,0.881
258,48.52,51.8,103.21,0.7311,0.8185,0.8853
