BRENT,USAtoJPY,USAtoGBP,USAtoEUR
40.06,106.13,0.7808,0.8462
39.83,106.14,0.7814,0.844
39.61,105.72,0.7783,0.8425
40.53,105.43,0.7758,0.844
42.22,104.94,0.7711,0.8462
43.3,104.73,0.7707,0.8439
43.15,104.55,0.7741,0.8445
41.44,104.64,0.7802,0.8494
41.72,104.91,0.7852,0.854
41.77,105.37,0.7858,0.8574
41.94,105.4,0.7841,0.8565
41.92,105.6,0.7843,0.8595
42.43,105.49,0.779,0.857
41.03,105.64,0.7773,0.8514
40.95,105.45,0.7738,0.8531
40.93,105.5,0.7756,0.851
39.27,105.33,0.7727,0.8534
41.29,105.72,0.7703,0.8485
42.65,105.62,0.7763,0.8521
41.99,105.96,0.7739,0.8501
43.34,106.01,0.773,0.8503
42.85,105.59,0.7663,0.8455
41.72,105.3,0.7654,0.8464
42.45,105.47,0.773,0.8512
43.32,105.15,0.7683,0.8512
43.16,105.44,0.7742,0.854
42.93,105.4,0.7741,0.8532
42.62,105.42,0.7721,0.8498
43.16,105.49,0.7724,0.8457
41.73,104.56,0.7603,0.843
42.46,104.82,0.7642,0.846
41.77,104.69,0.7666,0.843
40.46,104.82,0.7678,0.8467
41.2,104.4,0.7665,0.8477
39.12,104.29,0.7701,0.8514
37.65,104.61,0.7735,0.8565
37.46,104.64,0.7725,0.8583
38.97,104.71,0.7739,0.8589
39.71,104.46,0.7656,0.8534
41.23,104.48,0.7698,0.8527
40.93,103.47,0.7606,0.8454
39.45,103.33,0.7599,0.842
42.4,105.36,0.7596,0.8464
43.61,105.28,0.7532,0.8462
43.8,105.42,0.7561,0.849
43.53,105.12,0.7623,0.8469
42.78,104.62,0.7582,0.8449
43.82,104.56,0.7576,0.8435
43.75,104.17,0.7548,0.8428
44.34,103.83,0.7533,0.8435
44.2,103.72,0.7539,0.842
44.96,103.85,0.7527,0.8434
46.06,104.54,0.7505,0.8445
47.86,104.43,0.7483,0.8408
48.61,104.45,0.747,0.8392
47.8,104.25,0.7484,0.8392
48.18,104.1,0.7509,0.8358
47.59,104.27,0.7505,0.8381
47.42,104.3,0.7453,0.8284
48.25,104.4,0.7481,0.8253
48.71,103.83,0.7437,0.8234
49.25,104.14,0.7439,0.8248
48.79,104.06,0.7473,0.8257
48.84,104.15,0.7487,0.8261
48.86,104.21,0.7463,0.8276
50.25,104.2,0.7521,0.8237
49.97,104.01,0.756,0.8254
50.29,104.03,0.7504,0.8233
50.76,103.66,0.7427,0.8227
51.08,103.48,0.7401,0.8196
51.5,103.1,0.7361,0.815
52.26,103.31,0.7394,0.8157
50.91,103.3,0.7423,0.8167
50.08,103.63,0.7483,0.822
51.2,103.55,0.741,0.8204
51.29,103.63,0.7378,0.8205
50.86,103.78,0.7433,0.8184
51.09,103.56,0.7406,0.8163
51.34,103.17,0.7338,0.8131
51.8,103.21,0.7311,0.8185
